ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.8400000000000001	9.0	3.0	11.0	6.0	1.0	0	0	9	3	11	6	9	3	11	6	0	0	1.8978047370910645	10	1.8978047370910645	
0.86	9.2	3.0	11.0	6.0	1.0	1	0	12	3	11	6	6	3	11	6	0	0	0.7798671722412109	20	2.6776719093322754	
0.96	9.1	3.0	11.0	6.0	1.0	2	0	13	3	11	6	6	3	11	6	0	0	0.8603098392486572	30	3.5379817485809326	
0.8900000000000002	11.2	3.0	11.0	6.0	1.0	3	0	14	3	11	6	8	3	11	6	0	0	0.8703634738922119	40	4.4083452224731445	
0.9400000000000001	9.8	3.0	11.0	6.0	1.0	4	0	14	3	11	6	6	3	11	6	0	0	0.9170083999633789	50	5.325353622436523	
0.8699999999999999	10.9	3.0	11.0	6.0	1.0	5	1	18	3	11	6	6	3	11	6	0	0	0.70084547996521	60	6.026199102401733	
