ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.8699999999999999	9.0	3.0	11.0	6.0	1.0	0	0	9	3	11	6	9	3	11	6	0	0	1.4076967239379883	10	1.4076967239379883	
0.93	9.4	3.0	11.0	6.0	1.0	1	1	13	3	11	6	6	3	11	6	0	0	0.5917677879333496	20	1.999464511871338	
0.89	10.6	3.0	11.0	6.0	1.0	2	1	13	3	11	6	8	3	11	6	0	0	0.6342389583587646	30	2.6337034702301025	
0.9199999999999999	10.5	3.0	11.0	6.0	1.0	3	1	14	3	11	6	6	3	11	6	0	0	0.568324089050293	40	3.2020275592803955	
