ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.9099999999999999	9.0	3.0	11.0	6.0	1.0	0	0	9	3	11	6	9	3	11	6	0	0	3.8825786113739014	10	3.8825786113739014	
0.9200000000000002	9.1	3.0	11.0	6.0	1.0	1	0	11	3	11	6	7	3	11	6	0	0	2.455437183380127	20	6.338015794754028	
0.89	9.7	3.0	11.0	6.0	1.0	2	1	14	3	11	6	7	3	11	6	0	0	2.183067560195923	30	8.521083354949951	
0.93	9.2	3.0	11.0	6.0	1.0	3	1	16	3	11	6	6	3	11	6	0	0	2.5484116077423096	40	11.06949496269226	
