ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.9	9.0	3.0	11.0	6.0	1.0	0	0	9	3	11	6	9	3	11	6	0	0	1.8667585849761963	10	1.8667585849761963	
0.9111111111111112	9.4	3.0	11.0	6.0	1.0	1	2	14	3.0	11.0	6.0	4	3.0	11.0	6.0	0	0	1.1290547847747803	20	2.9958133697509766	
0.93	11.2	3.0	11.0	6.0	1.0	2	2	14	3	11	6	9	3	11	6	0	0	1.4761362075805664	30	4.471949577331543	
0.96	12.1	3.0	11.0	6.0	1.0	3	2	17	3	11	6	8	3	11	6	0	0	1.1442310810089111	40	5.616180658340454	
0.86	10.5	3.0	11.0	6.0	1.0	4	2	19	3	11	6	6	3	11	6	0	0	1.4042692184448242	50	7.020449876785278	
0.9199999999999999	9.2	3.0	11.0	6.0	1.0	5	2	13	3	11	6	6	3	11	6	0	0	1.099487543106079	60	8.119937419891357	
