n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy
300,8,4,6,entropy,0.9
20,8,4,2,gini,0.9
100,12,12,10,entropy,1.0
40,8,12,8,entropy,0.9
40,8,20,4,gini,0.9
100,2,20,4,entropy,0.8
100,2,20,4,gini,0.8
220,5,12,10,gini,1.0
40,8,15,1,gini,0.9
300,2,15,1,entropy,0.9
220,8,20,1,gini,0.8
20,2,4,8,gini,0.8
220,4,4,10,gini,0.8
80,2,4,8,gini,0.9
220,8,20,1,gini,0.7
220,3,4,8,gini,1.0
220,15,20,6,gini,0.9
40,5,20,4,entropy,0.7
300,8,20,5,gini,1.0
220,8,20,4,entropy,0.9
20,2,4,8,gini,0.6
20,2,12,1,gini,0.7
300,15,12,5,entropy,0.8
220,8,20,4,entropy,0.9
220,8,20,4,entropy,0.7
220,12,20,2,entropy,0.8
300,15,12,5,entropy,1.0
220,4,4,4,entropy,0.8
80,8,4,8,gini,0.8
300,15,20,2,entropy,0.8
300,15,12,5,gini,1.0
300,15,12,5,gini,0.7
300,15,12,4,entropy,0.8
220,5,12,1,gini,1.0
220,3,12,8,entropy,0.8
220,8,20,4,entropy,0.9
300,15,12,5,gini,0.8
220,2,4,1,gini,0.8
