ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
0.8	9.0	3.0	11.0	6.0	1.0	0	0	9	3	11	6	9	3	11	6	0	0	2.2768378257751465	10	2.2768378257751465	
0.9000000000000001	9.5	3.0	11.0	6.0	1.0	1	2	14	3.0	11.0	6.0	4	3.0	11.0	6.0	0	0	0.9568989276885986	20	3.233736753463745	
0.9100000000000001	9.8	3.0	11.0	6.0	1.0	2	3	12	3	11	6	7	3	11	6	0	0	1.3807361125946045	30	4.61447286605835	
0.95	9.4	3.0	11.0	6.0	1.0	3	3	12	3	11	6	7	3	11	6	0	0	1.336782455444336	40	5.9512553215026855	
0.8333333333333334	10.8	3.0	11.0	6.0	1.0	4	5	17	3.0	11.0	6.0	5	3.0	11.0	6.0	0	0	1.0619149208068848	50	7.01317024230957	
0.8900000000000002	12.0	3.0	11.0	6.0	1.0	5	5	20	3	11	6	7	3	11	6	0	0	1.352295160293579	60	8.36546540260315	
